prob_num,prob_idx,trial,repeat,total_planning_time,success,num_llm_calls,num_mp_calls,timed_out,sim_success,error
3,1,1,1,4.947693586349487,True,1,12,False,,
3,1,2,1,26.586265087127686,True,6,18,False,,
3,1,3,1,13.69549822807312,True,3,14,False,,
3,1,4,1,48.94770336151123,True,9,20,False,,
3,1,5,1,77.8386058807373,True,12,39,False,,
3,1,6,1,5.039729833602905,True,1,12,False,,
3,1,7,1,160.57252287864685,True,25,35,False,,
3,1,8,1,4.9764084815979,True,1,12,False,,
3,1,9,1,34.188658475875854,True,6,17,False,,
3,1,10,1,14.884514331817627,True,3,14,False,,
4,1,1,1,603.7828595638275,False,64,86,False,,
4,1,2,1,608.0277757644653,False,50,175,False,,
4,1,3,1,604.2459201812744,False,51,157,False,,
4,1,4,1,610.819732427597,False,60,130,False,,
4,1,5,1,600.1231596469879,False,55,141,False,,
4,1,6,1,604.4935450553894,False,71,85,False,,
4,1,7,1,606.2022697925568,False,43,97,False,,
4,1,8,1,612.893396615982,False,70,128,False,,
4,1,9,1,605.5839920043945,False,54,162,False,,
4,1,10,1,606.2533993721008,False,57,83,False,,
5,1,10,1,625.7890474796295,False,24,110,False,,
5,1,1,1,627.1635317802429,False,23,71,False,,
5,1,2,1,671.1091713905334,False,1,8,False,,
5,1,3,1,649.2175488471985,False,2,8,False,,
5,1,4,1,632.2482395172119,False,17,53,False,,
5,1,5,1,617.1041502952576,False,1,7,False,,
5,1,6,1,613.1269588470459,False,1,7,False,,
5,1,7,1,600.1221261024475,False,1,7,False,,
5,1,8,1,638.2849895954132,False,3,8,False,,
5,1,9,1,673.1106922626495,False,1,8,False,,
